title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Administration Building, University of Idaho, No. 30","Pacific Photo Co.","1910","Example locally hosted image item. Photographic postcard of the University of Idaho administration building in Moscow, Idaho.","universities; buildings; campuses; picture postcards","Moscow, Idaho","46.725562","-117.009633","PG 9, Postcard Collection, Special Collections and Archives, University of Idaho Library","pg_9_12_01bl","Image;StillImage","image/jpeg","eng","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","http://localhost:4000/objects/thumbs/demo_001_th.jpg","http://localhost:4000/objects/demo_001.jpg",/items/demo_001.html
"Spokane County Court House, Spokane, Washington","Spokane Post Card Co.","1912-09-08","Example locally hosted PDF item. Postcard is of the Spokane County Courthouse in Spokane, Washington. Postmark 9/8/1912, Spokane, WA. Destination San Francisco, CA.","public buildings; county courthouses; trees; picture postcards","Spokane, Washington","47.66432","-117.428031","PG 107, Knowles Postcard Collection, Special Collections and Archives, University of Idaho Library","Postcard_032","Image;StillImage","application/pdf","eng","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","http://localhost:4000/objects/thumbs/demo_002_th.jpg","http://localhost:4000/objects/demo_002.pdf",/items/demo_002.html
"Good News – Power (Radio Episode Excerpt)","Robinson, Frank B.","1947","Example locally hosted audio item. A short excerpt from a Psychiana radio program episode that begins with assurance that there is a Power that can get people what they desire. Robinson then discusses his early life failures and childhood seeking of some force that could turn his failures into success. He asserts the God-Power can turn our failures into success and bring us material and spiritual abundance.","Frank B. Robinson; Failure; Success; Material Abundance","Moscow, Idaho","46.733001","-116.991779","Psychiana Digital Collection, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/psychiana/","Good_News_08","Audio","audio/mp3","eng","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","http://localhost:4000/objects/thumbs/demo_003_th.jpg","http://localhost:4000/objects/demo_003.mp3",/items/demo_003.html
"University of Idaho vs. University of Southern California (Football), 10/30/1925","Vandal Athletics","1925-10-30","Example YouTube video item. Idaho Football vs. University of Southern California 10/30/1925 at Neale Stadium in Moscow, ID. Score: 7 - 51 (L). Silent film footage.","American Football","Moscow, Idaho","46.726113","-117.015671","Vandal Video Collection, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/vandalvideo/","MG 23, Item 29","Image;MovingImage","video/mp4","eng","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","https://img.youtube.com/vi/CVXQ3X6Q8oU/mqdefault.jpg","https://youtu.be/CVXQ3X6Q8oU",/items/demo_004.html
"Interview with K. Silem Mohammad","Becker, Devin","2014-06-16","Example Vimeo video item. Oral history interview with poet K. Silem Mohammad discussing recent changes in writing practices that occurred due to the advent of the computer and the arrival of the digital age.","Poetry","Ashland, OR","42.1916714","-122.728533","CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/","","Image;MovingImage","video/mp4","eng","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","","https://vimeo.com/464555587",/items/demo_005.html
"Ford pumper used for slash burning control","Thompson, J. B.","1932-09-01","Example image item externally hosted. Ford pumper used for slash burning control. September 1932. From the photo series depicting the broadcast burn at the mouth of Benton Creek.","forestry","Bonner County;Priest River Experimental Forest;Benton Creek","48.34472222","-116.8483333","Experimental Forest and Savenac Nursery Archive, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/expforest/","FirePump1","Image;StillImage","image/jpeg","eng","Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","https://www.lib.uidaho.edu/collectionbuilder/demo-objects/thumbs/demo_006_th.jpg","https://www.lib.uidaho.edu/collectionbuilder/demo-objects/demo_006.jpg",/items/demo_006.html
"Influence of Fishway Placement on Fallback of Adult Salmon at the Bonneville Dam on the Columbia River","Reischel, T.S.; Bjornn, T.C.","2003","Example metadata-only record with link to external source. Journal article.","fisheries management","Bonneville Dam","45.6442837","-121.9428256","North American Journal of Fisheries Management, vol. 23, issue 4, p. 1215-1224. DOI: 10.1577/M02-113","DOI:10.1577/M02-113","Text","application/pdf","eng","Metadata-only record, please check publication for rights","","","https://www.doi.org/10.1577/M02-113",/items/demo_007.html
"Hell&#39;s Half Acre","Keeping Watch","","Example compound object. Hells Half Acre is an R-6 cabin that is easily accessible by road in the Selway-Bitterroot Wilderness. Originally a platform on top of a forty-foot-tall tower, the original Hell&#39;s Half Acre cabin was an L-4.  Now one of the most popular lookouts in Idaho or Montana, it sits above a snag forest of mostly lodgepole pine. A sign at the base of the summit informs drivers that the tower opens at 9 am. Unsure if this refers to mountain or pacific time, we wait at the sign and drink our coffee.","","","45.64579","-114.62838","Keeping Watch Fire Tower Oral HIstory Project","","record","compound_object","eng","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","https://cdil.lib.uidaho.edu/keeping-watch/objects/thumbs/outside_shot_hells_half_th.jpg","",/items/demo_008.html
"Hell&#39;s Half Acre Lookout 360 Image","Keeping Watch","2021-07-13","Example child object. 360 Image of the Interior of Hell&#39;s Half Acre Fire Tower","","Hell&#39;s Half Acre","45.64579","-114.62838","","","Image;StillImage","image/jpeg","eng","","","https://cdil.lib.uidaho.edu/keeping-watch/objects/thumbs/hells_half_theta_th.jpg","http://localhost:4000/objects/hells_half_theta.jpg",/items/demo_008.html#demo_009
"Patrick McMarron Records Fire Conditions at Hell&#39;s Half Acre Lookout","Keeping Watch","2021-07-13","Example child object. Video of Patrick McMarron recording fire conditions in July of 2021 on Hells Half Acre Fire Lookout","","Hell&#39;s Half Acre","45.64579","-114.62838","","","Image;MovingImage","video/mp4","eng","","","","https://cdil.lib.uidaho.edu/keeping-watch/objects/videos/patrick_records_weather.MP4",/items/demo_008.html#demo_010
"Outside shot of Hells Half Acre Lookout","Keeping Watch","2021-07-13","Example child object. Outside shot of Hells Half Acre Lookout","","Hell&#39;s Half Acre","45.64579","-114.62838","","","Image;StillImage","image/jpeg","eng","","","https://cdil.lib.uidaho.edu/keeping-watch/objects/thumbs/outside_shot_hells_half_th.jpg","https://cdil.lib.uidaho.edu/keeping-watch/objects/hell-s-half-acre/outside_shot_hells_half.JPG",/items/demo_008.html#demo_011
"Patrick McMarron Discusses the Importance of Human Beings on the Lookout","Keeping Watch","2021-07-13","Example child object. Video of Patrick McMarron discussing the importance of human beings staffing fire lookouts","Patrick McMarron; Hell&#39;s Half Acre","Hell&#39;s Half Acre","45.64579","-114.62838","","","Image;MovingImage","video/mp4","eng","","","","https://cdil.lib.uidaho.edu/keeping-watch/objects/videos/patrick_the_human_being.mp4",/items/demo_008.html#demo_012
