Object identifier,Divisions,Accession Number,Accession Description,Quantity,Type,Original Number,Other Numbers,Object Type,Materials,Display Date,Provenience,Verbatim Geography,Geographic Location,Political Location,Culture,Description,Curatorial Notes
1361,Ethnology & Material Culture,"Accession Number: 208
",Accession #208 Donation 12/1924 (208),"Quantity: 1
Unit: ea
",Ethnographic,,,Cordage,Fiber; Wood,,,Asia-Southeast Asia-Philippines--,,,,"Game-carrier (?) 


Double loop of fiber tied at one end, with large, round, wood beads threaded on it.",
8002,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sword and sheath,Metal; Wood; Cotton; Wicker,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Taraca District,Moro,"One straight-edged Kampilan knife and sheath, wired together.  Captured in the Taraca District, April 5, 1904.",
8003,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sword,Metal; Hair/Fur; Silk; Botanical,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Taraca District,Moro,"One kampilan sword, V-type handle.  Metal blade hafted in a wooden handle which is decorated with tufts of dyed red animal hair, natural cordage, and a twisted silk scarf.  Note reads, ""captured in the Taraca district, April 5, 1904.""",
8004,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sword,Metal; Silk; Wood; Cotton,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Taraca District,Moro,"One straight-edged Kampilan, captured in the Taraca District April 5, 1904.",
8005,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sword,Metal; Wood,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Taraca District,Moro,"One Kampilan sword, with an etched metal blade hafted in a wooden handle.  Captured in the Taraca District, April 5, 1904.",
8007,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sword,Metal; Wood; Wicker,,,Asia-Southeast Asia-Philippines-Cotabato-,Cattobatto Valley,Fort Serani,,"One beheading blade ""tabas"" parang.  Bagsacay or Simbilin.  It is believed that the knife was used for both fighting and beheading.  Captured at Datto Alis, Fort Serani, Cattobatto Valley, March, 1904.",
8010,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines--,Jalo Island in Sulu Island Group,,Moro,"Ornamental Barong, a combat knife.  Captured on the island of Jalo in Sulu Group, on the 2nd of Gen'l Wood, Nov 1903.  Knives of this sort are used in combat.",
8011,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines--,,,,"One Bolo working knife.  Notes says, ""This is about the only tool used by natives in building houses. Malabong.""",
8012,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines--,,,,"One Bolo knife, a working tool used for building.  Blade is metal hafted in a wooden handle.",
8013,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Malabang,,"One Bolo knife, with a metal blade hafted in a wooden handle.  Note reads, ""this is a working knife, about the only tool used to build houses. Malabang""",
